n, time (in micro)
1000,80
2000,48
3000,48
4000,47
5000,49
6000,48
7000,47
8000,45
9000,63
10000,49
11000,49
12000,48
13000,49
14000,50
15000,47
16000,48
17000,48
18000,48
19000,48
20000,47
21000,56
22000,49
23000,48
24000,48
25000,48
26000,56
27000,48
28000,48
29000,48
30000,48
31000,48
32000,48
33000,47
34000,49
35000,50
36000,49
37000,49
38000,49
39000,61
40000,65
41000,48
42000,48
43000,49
44000,48
45000,49
46000,48
47000,48
48000,48
49000,49
50000,48
