n, time (in micro)
100,45
200,174
300,476
400,680
500,1018
600,1599
700,2120
800,2686
900,4183
1000,5315
1100,6223
1200,6719
1300,9166
1400,8367
1500,11607
1600,16204
1700,14642
1800,15446
1900,14945
2000,17218
2100,18075
2200,21324
2300,22702
2400,23682
2500,25460
2600,28097
2700,29763
2800,32676
2900,34551
3000,39277
3100,39550
3200,42425
3300,45948
3400,48188
3500,52905
3600,53254
3700,58659
3800,61919
3900,65377
4000,68343
4100,71863
4200,82229
4300,82770
4400,85361
4500,89282
4600,93983
4700,101097
4800,102035
4900,115118
5000,115141
