n, time (in micro)
1000,4703
2000,16802
3000,37803
4000,68208
5000,107512
6000,146888
7000,208476
8000,271837
9000,351467
10000,426077
11000,500629
12000,641893
13000,733637
14000,864063
15000,957170
16000,1108183
17000,1270443
18000,1394065
19000,1587082
20000,1717719
21000,1907581
22000,2105001
23000,2298349
24000,2503613
25000,2689466
26000,2911784
27000,3123298
28000,3341734
29000,3574113
30000,3864199
31000,4110520
32000,4375497
33000,4643975
34000,4960552
35000,5245957
36000,5492639
37000,5793877
38000,6172967
39000,6466535
40000,6799948
41000,7156562
42000,7525912
43000,7872823
44000,8307855
45000,8661482
46000,9037362
47000,9334977
48000,9867041
49000,10167770
50000,10584562
