n, time (in micro)
500,95
1000,60
1500,50
2000,48
2500,50
3000,48
3500,51
4000,50
4500,87
5000,50
5500,48
6000,51
6500,50
7000,49
7500,87
8000,52
8500,76
9000,50
9500,51
10000,49
10500,49
11000,50
11500,49
12000,88
12500,50
13000,51
13500,49
14000,51
14500,73
15000,53
15500,49
16000,50
16500,49
17000,49
17500,83
18000,49
18500,50
19000,50
19500,50
20000,58
20500,48
21000,50
21500,50
22000,115
22500,50
23000,47
23500,49
24000,48
24500,51
25000,48
