n, time (in micro)
500,1018
1000,4921
1500,11166
2000,19066
2500,30931
3000,38153
3500,57146
4000,65271
4500,83260
5000,104812
5500,129494
6000,152852
6500,186803
7000,211796
7500,238233
8000,270938
8500,305442
9000,338284
9500,387975
10000,423566
10500,473975
11000,514553
11500,583478
12000,634648
12500,671193
13000,731316
13500,778269
14000,827110
14500,893049
15000,951007
15500,1047607
16000,1110916
16500,1172595
17000,1265861
17500,1328184
18000,1406152
18500,1455238
19000,1552198
19500,1648616
20000,1704144
20500,1808944
21000,1901848
21500,1977383
22000,2108799
22500,2170256
23000,2286377
23500,2402034
24000,2468371
24500,2567388
25000,2664638
