n, time (in micro)
1000,2
2000,4
3000,5
4000,7
5000,9
6000,11
7000,13
8000,15
9000,17
10000,20
11000,20
12000,25
13000,26
14000,28
15000,29
16000,43
17000,32
18000,34
19000,37
20000,37
21000,47
22000,50
23000,43
24000,45
25000,47
26000,77
27000,52
28000,88
29000,57
30000,58
31000,58
32000,60
33000,64
34000,66
35000,68
36000,70
37000,70
38000,73
39000,76
40000,78
41000,80
42000,81
43000,85
44000,86
45000,87
46000,111
47000,91
48000,95
49000,96
50000,160
